original_text,segmented_text,filtered_text,word_count,key_words,word_frequency,text_length
PLC断电记忆丢失，参数恢复至出厂默认值,PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 参数恢复至出厂默认值,2,"PLC断电记忆丢失, 参数恢复至出厂默认值","{'PLC断电记忆丢失': 1, '参数恢复至出厂默认值': 1}",20
液压缸动作卡顿，换向时出现滞涩现象,液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 换向时出现滞涩现象,2,"液压缸动作卡顿, 换向时出现滞涩现象","{'液压缸动作卡顿': 1, '换向时出现滞涩现象': 1}",17
液压缸活塞杆变形，伸出时出现偏斜,液压缸活塞杆变形 伸出时出现偏斜,液压缸活塞杆变形 伸出时出现偏斜,2,"液压缸活塞杆变形, 伸出时出现偏斜","{'液压缸活塞杆变形': 1, '伸出时出现偏斜': 1}",16
继电器触点烧蚀，接触电阻增大至5Ω,继电器触点烧蚀 接触电阻增大至5Ω,继电器触点烧蚀 接触电阻增大至5Ω,2,"继电器触点烧蚀, 接触电阻增大至5Ω","{'继电器触点烧蚀': 1, '接触电阻增大至5Ω': 1}",17
离心泵密封泄漏，机械密封端面磨损,离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 机械密封端面磨损,2,"离心泵密封泄漏, 机械密封端面磨损","{'离心泵密封泄漏': 1, '机械密封端面磨损': 1}",16
轴承间隙过大，径向游隙超0.15mm,轴承间隙过大 径向游隙超0.15mm,轴承间隙过大 径向游隙超0.15mm,2,"轴承间隙过大, 径向游隙超0.15mm","{'轴承间隙过大': 1, '径向游隙超0.15mm': 1}",18
轴承滚珠破损，振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,2,"轴承滚珠破损, 振动频谱出现冲击峰值","{'轴承滚珠破损': 1, '振动频谱出现冲击峰值': 1}",17
继电器误动作，无输入信号时触点自行闭合,继电器误动作 无输入信号时触点自行闭合,继电器误动作 无输入信号时触点自行闭合,2,"继电器误动作, 无输入信号时触点自行闭合","{'继电器误动作': 1, '无输入信号时触点自行闭合': 1}",19
离心泵叶轮磨损，流量下降至额定70%,离心泵叶轮磨损 流量下降至额定70%,离心泵叶轮磨损 流量下降至额定70%,2,"离心泵叶轮磨损, 流量下降至额定70%","{'离心泵叶轮磨损': 1, '流量下降至额定70%': 1}",18
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机轴承润滑不足导致转速异常 输出转速波动±5%,电机轴承润滑不足导致转速异常 输出转速波动±5%,2,"电机轴承润滑不足导致转速异常, 输出转速波动±5%","{'电机轴承润滑不足导致转速异常': 1, '输出转速波动±5%': 1}",24
PLC输入输出点I0.2损坏，无信号输入,PLC输入输出点I0.2损坏 无信号输入,PLC输入输出点I0.2损坏 无信号输入,2,"PLC输入输出点I0.2损坏, 无信号输入","{'PLC输入输出点I0.2损坏': 1, '无信号输入': 1}",20
轴承温升过高，连续运行2小时后温度达80℃,轴承温升过高 连续运行2小时后温度达80℃,轴承温升过高 连续运行2小时后温度达80℃,2,"轴承温升过高, 连续运行2小时后温度达80℃","{'轴承温升过高': 1, '连续运行2小时后温度达80℃': 1}",21
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,2,"传感器抗干扰差, 受电磁干扰出现跳变","{'传感器抗干扰差': 1, '受电磁干扰出现跳变': 1}",17
传感器数值漂移，测量值比实际值高10%,传感器数值漂移 测量值比实际值高10%,传感器数值漂移 测量值比实际值高10%,2,"传感器数值漂移, 测量值比实际值高10%","{'传感器数值漂移': 1, '测量值比实际值高10%': 1}",19
液压缸压力不足，工作压力仅达额定60%,液压缸压力不足 工作压力仅达额定60%,液压缸压力不足 工作压力仅达额定60%,2,"液压缸压力不足, 工作压力仅达额定60%","{'液压缸压力不足': 1, '工作压力仅达额定60%': 1}",19
