fault_text1,fault_text2,semantic_similarity
液压缸动作卡顿，换向时出现滞涩现象,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.54
离心泵轴承发热，温度达75℃,离心泵叶轮磨损，流量下降至额定70%,0.85
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.97
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.57
离心泵叶轮磨损，流量下降至额定70%,电机连续运行8小时后出现异响，振动值超额定20%,0.02
继电器吸合不良，线圈电压正常但触点未闭合,电机过载停机，故障代码E012，需重启复位,0.0
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.53
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.47
继电器吸合不良，线圈电压正常但触点未闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.96
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.42
传感器抗干扰差，受电磁干扰出现跳变,离心泵流量不足，出口管路堵塞,0.09
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.58
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.82
PLC信号丢失，传感器反馈数据无更新,PLC通讯故障，与变频器的Modbus连接中断,0.65
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.63
轴承温升过高，连续运行2小时后温度达80℃,轴承润滑脂干涸，出现干摩擦异响,0.88
液压缸活塞杆变形，伸出时出现偏斜,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.25
变频器频率漂移，设定50Hz实际输出45Hz,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.1
传感器数值漂移，测量值比实际值高10%,变频器散热风扇故障，散热片温度达75℃,0.24
离心泵轴承发热，温度达75℃,离心泵叶轮磨损，流量下降至额定70%,0.82
PLC信号丢失，传感器反馈数据无更新,PLC程序报错，梯形图逻辑错误导致误动作,0.85
变频器参数紊乱，加速时间被异常修改,变频器过流跳闸，输出电流超额定30%,0.87
电机过载停机，故障代码E012，需重启复位,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.95
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.65
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.94
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.52
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.44
离心泵空转异响，进口阀门未打开导致气蚀,离心泵空转异响，进口阀门未打开导致气蚀,0.59
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.91
轴承滚珠破损，振动频谱出现冲击峰值,轴承滚珠破损，振动频谱出现冲击峰值,0.45
传感器抗干扰差，受电磁干扰出现跳变,传感器无输出信号，接线端子接触不良,0.92
继电器吸合不良，线圈电压正常但触点未闭合,继电器误动作，无输入信号时触点自行闭合,0.53
传感器无输出信号，接线端子接触不良,轴承温升过高，连续运行2小时后温度达80℃,0.04
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.67
轴承间隙过大，径向游隙超0.15mm,轴承滚珠破损，振动频谱出现冲击峰值,0.6
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.65
传感器量程超限，显示值固定为最大值,传感器响应延迟，信号滞后2秒,0.97
离心泵轴承发热，温度达75℃,离心泵流量不足，出口管路堵塞,0.61
变频器过流跳闸，输出电流超额定30%,变频器散热风扇故障，散热片温度达75℃,0.83
离心泵流量不足，出口管路堵塞,离心泵密封泄漏，机械密封端面磨损,0.43
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.51
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.7
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.87
液压缸动作卡顿，换向时出现滞涩现象,液压缸缓冲装置失效，行程末端冲击过大,0.47
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.94
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.89
电机轴承润滑不足导致转速异常，输出转速波动±5%,继电器吸合不良，线圈电压正常但触点未闭合,0.29
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.51
继电器接触不良，信号传输时断时续,继电器接触不良，信号传输时断时续,0.67
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.93
传感器无输出信号，接线端子接触不良,传感器量程超限，显示值固定为最大值,0.51
传感器响应延迟，信号滞后2秒,传感器抗干扰差，受电磁干扰出现跳变,0.88
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.93
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.45
继电器触点烧蚀，接触电阻增大至5Ω,继电器接触不良，信号传输时断时续,0.6
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.53
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.46
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.69
液压缸缓冲装置失效，行程末端冲击过大,液压缸动作卡顿，换向时出现滞涩现象,0.81
轴承间隙过大，径向游隙超0.15mm,轴承滚珠破损，振动频谱出现冲击峰值,0.91
传感器数值漂移，测量值比实际值高10%,传感器抗干扰差，受电磁干扰出现跳变,0.5
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.49
变频器过压报警，直流母线电压达800V,变频器过流跳闸，输出电流超额定30%,0.56
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.48
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.46
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.54
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机负载达额定120%时出现过热，绕组温度升至105℃,0.88
液压缸缓冲装置失效，行程末端冲击过大,液压缸缓冲装置失效，行程末端冲击过大,0.5
离心泵空转异响，进口阀门未打开导致气蚀,离心泵空转异响，进口阀门未打开导致气蚀,0.44
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.82
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.92
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.62
离心泵空转异响，进口阀门未打开导致气蚀,离心泵空转异响，进口阀门未打开导致气蚀,0.63
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.58
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.89
变频器频率漂移，设定50Hz实际输出45Hz,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.22
离心泵轴承发热，温度达75℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.28
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.43
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.68
液压缸缓冲装置失效，行程末端冲击过大,液压缸压力不足，工作压力仅达额定60%,0.93
电机过载停机，故障代码E012，需重启复位,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.92
继电器线圈烧毁，电阻值无穷大,液压缸动作卡顿，换向时出现滞涩现象,0.26
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.53
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.61
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.42
轴承滚珠破损，振动频谱出现冲击峰值,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.09
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机连续运行8小时后出现异响，振动值超额定20%,0.52
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机连续运行8小时后出现异响，振动值超额定20%,0.98
继电器触点烧蚀，接触电阻增大至5Ω,继电器接触不良，信号传输时断时续,0.89
电机负载达额定120%时出现过热，绕组温度升至105℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.91
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.55
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.49
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.45
变频器参数紊乱，加速时间被异常修改,变频器散热风扇故障，散热片温度达75℃,0.53
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.84
PLC程序报错，梯形图逻辑错误导致误动作,PLC断电记忆丢失，参数恢复至出厂默认值,0.42
继电器误动作，无输入信号时触点自行闭合,电机连续运行8小时后出现异响，振动值超额定20%,0.1
变频器过流跳闸，输出电流超额定30%,变频器频率漂移，设定50Hz实际输出45Hz,0.88
传感器无输出信号，接线端子接触不良,传感器数值漂移，测量值比实际值高10%,0.64
液压缸动作卡顿，换向时出现滞涩现象,液压缸活塞杆变形，伸出时出现偏斜,0.91
继电器误动作，无输入信号时触点自行闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.42
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.86
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.86
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.85
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.62
PLC程序报错，梯形图逻辑错误导致误动作,PLC断电记忆丢失，参数恢复至出厂默认值,0.47
传感器响应延迟，信号滞后2秒,传感器无输出信号，接线端子接触不良,0.89
变频器散热风扇故障，散热片温度达75℃,变频器散热风扇故障，散热片温度达75℃,0.62
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.5
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.85
轴承间隙过大，径向游隙超0.15mm,轴承间隙过大，径向游隙超0.15mm,0.58
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.52
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.95
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.52
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.51
变频器频率漂移，设定50Hz实际输出45Hz,变频器散热风扇故障，散热片温度达75℃,0.68
液压缸压力不足，工作压力仅达额定60%,液压缸动作卡顿，换向时出现滞涩现象,0.96
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.87
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.65
电机过载停机，故障代码E012，需重启复位,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.59
传感器数值漂移，测量值比实际值高10%,传感器抗干扰差，受电磁干扰出现跳变,0.49
变频器散热风扇故障，散热片温度达75℃,PLC输入输出点I0.2损坏，无信号输入,0.24
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.97
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.88
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.85
液压缸压力不足，工作压力仅达额定60%,液压缸压力不足，工作压力仅达额定60%,0.65
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.84
继电器误动作，无输入信号时触点自行闭合,继电器线圈烧毁，电阻值无穷大,0.53
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.57
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.85
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.99
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.87
PLC断电记忆丢失，参数恢复至出厂默认值,继电器触点烧蚀，接触电阻增大至5Ω,0.16
轴承滚珠破损，振动频谱出现冲击峰值,变频器过流跳闸，输出电流超额定30%,0.29
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.47
轴承磨损异响，运转时出现周期性异音,轴承滚珠破损，振动频谱出现冲击峰值,0.69
离心泵叶轮磨损，流量下降至额定70%,离心泵轴承发热，温度达75℃,0.88
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机连续运行8小时后出现异响，振动值超额定20%,0.61
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.62
电机连续运行8小时后出现异响，振动值超额定20%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.47
轴承间隙过大，径向游隙超0.15mm,轴承磨损异响，运转时出现周期性异音,0.94
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.99
轴承间隙过大，径向游隙超0.15mm,液压缸缓冲装置失效，行程末端冲击过大,0.23
液压缸动作卡顿，换向时出现滞涩现象,液压缸缓冲装置失效，行程末端冲击过大,0.46
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.66
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.52
继电器触点烧蚀，接触电阻增大至5Ω,继电器线圈烧毁，电阻值无穷大,0.91
离心泵流量不足，出口管路堵塞,离心泵密封泄漏，机械密封端面磨损,0.94
PLC输入输出点I0.2损坏，无信号输入,PLC程序报错，梯形图逻辑错误导致误动作,0.89
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.67
继电器线圈烧毁，电阻值无穷大,传感器量程超限，显示值固定为最大值,0.29
轴承磨损异响，运转时出现周期性异音,轴承滚珠破损，振动频谱出现冲击峰值,0.46
传感器无输出信号，接线端子接触不良,传感器量程超限，显示值固定为最大值,0.68
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.86
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.55
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.56
继电器吸合不良，线圈电压正常但触点未闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.54
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.97
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.95
传感器无输出信号，接线端子接触不良,传感器抗干扰差，受电磁干扰出现跳变,0.94
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.52
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.45
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.5
PLC断电记忆丢失，参数恢复至出厂默认值,PLC断电记忆丢失，参数恢复至出厂默认值,0.43
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.49
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.69
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.88
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.47
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.46
传感器响应延迟，信号滞后2秒,轴承间隙过大，径向游隙超0.15mm,0.24
液压缸密封件损坏导致漏油，每小时泄漏5ml,PLC信号丢失，传感器反馈数据无更新,0.01
电机轴承润滑不足导致转速异常，输出转速波动±5%,变频器散热风扇故障，散热片温度达75℃,0.02
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.83
电机轴承润滑不足导致转速异常，输出转速波动±5%,液压缸压力不足，工作压力仅达额定60%,0.16
离心泵密封泄漏，机械密封端面磨损,变频器过流跳闸，输出电流超额定30%,0.07
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸压力不足，工作压力仅达额定60%,0.86
液压缸压力不足，工作压力仅达额定60%,轴承滚珠破损，振动频谱出现冲击峰值,0.02
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,PLC信号丢失，传感器反馈数据无更新,0.11
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.81
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.9
继电器吸合不良，线圈电压正常但触点未闭合,继电器误动作，无输入信号时触点自行闭合,1.0
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.85
离心泵轴承发热，温度达75℃,离心泵密封泄漏，机械密封端面磨损,0.89
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.61
离心泵流量不足，出口管路堵塞,离心泵空转异响，进口阀门未打开导致气蚀,0.53
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.8
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.65
继电器误动作，无输入信号时触点自行闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.84
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.91
PLC程序报错，梯形图逻辑错误导致误动作,PLC断电记忆丢失，参数恢复至出厂默认值,0.99
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.66
传感器数值漂移，测量值比实际值高10%,传感器抗干扰差，受电磁干扰出现跳变,0.45
PLC断电记忆丢失，参数恢复至出厂默认值,PLC程序报错，梯形图逻辑错误导致误动作,0.66
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.96
液压缸活塞杆变形，伸出时出现偏斜,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.45
