text,char_count,word_count,digit_count,special_char_count,matched_keywords,keyword_count,avg_word_length,text_clean,text_words
PLC程序报错，梯形图逻辑错误导致误动作,20,2,0,0,"程序, PLC",2,10.0,PLC程序报错梯形图逻辑错误导致误动作,"['PLC', '程序', '报错', '梯形图', '逻辑', '错误', '误动作']"
PLC断电记忆丢失，参数恢复至出厂默认值,20,2,0,0,"参数, PLC",2,10.0,PLC断电记忆丢失参数恢复至出厂默认值,"['PLC', '断电', '记忆', '丢失', '参数', '恢复', '出厂', '默认值']"
液压缸动作卡顿，换向时出现滞涩现象,17,2,0,0,液压缸,1,8.5,液压缸动作卡顿换向时出现滞涩现象,"['液压缸', '动作', '卡顿', '换向', '滞涩', '现象']"
液压缸活塞杆变形，伸出时出现偏斜,16,2,0,0,"液压缸, 活塞杆, 变形",3,8.0,液压缸活塞杆变形伸出时出现偏斜,"['液压缸', '活塞杆', '变形', '伸出', '偏斜']"
继电器触点烧蚀，接触电阻增大至5Ω,17,2,1,1,继电器,1,8.5,继电器触点烧蚀接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '接触', '电阻', '增大']"
离心泵密封泄漏，机械密封端面磨损,16,2,0,0,"磨损, 泄漏",2,8.0,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']"
轴承间隙过大，径向游隙超0.15mm,18,2,3,0,"轴, 轴承",2,9.0,轴承间隙过大径向游隙超0.15mm,"['轴承', '间隙', '过大', '径向', '游隙', '0.15', 'mm']"
轴承滚珠破损，振动频谱出现冲击峰值,17,2,0,0,"振动, 轴, 轴承",3,8.5,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']"
继电器误动作，无输入信号时触点自行闭合,19,2,0,0,"信号, 继电器",2,9.5,继电器误动作无输入信号时触点自行闭合,"['继电器', '误动作', '输入', '信号', '触点', '自行', '闭合']"
离心泵叶轮磨损，流量下降至额定70%,18,2,2,1,磨损,1,9.0,离心泵叶轮磨损流量下降至额定70%,"['离心泵', '叶轮', '磨损', '流量', '下降', '额定', '70%']"
电机轴承润滑不足导致转速异常，输出转速波动±5%,24,2,1,1,"转速, 轴, 轴承, 电机",4,12.0,电机轴承润滑不足导致转速异常输出转速波动5%,"['电机', '轴承', '润滑', '不足', '转速', '异常', '输出', '转速', '波动', '5%']"
PLC输入输出点I0.2损坏，无信号输入,20,2,2,0,"信号, 输入输出, PLC",3,10.0,PLC输入输出点I0.2损坏无信号输入,"['PLC', '输入输出', 'I0.2', '损坏', '信号', '输入']"
轴承温升过高，连续运行2小时后温度达80℃,21,2,3,1,"轴, 轴承, 温升",3,10.5,轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']"
传感器抗干扰差，受电磁干扰出现跳变,17,2,0,0,无,0,8.5,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']"
传感器数值漂移，测量值比实际值高10%,19,2,2,1,无,0,9.5,传感器数值漂移测量值比实际值高10%,"['传感器', '数值', '漂移', '值比', '值高', '10%']"
液压缸压力不足，工作压力仅达额定60%,19,2,2,1,"压力不足, 液压缸",2,9.5,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']"
