fault_text1,fault_text2,semantic_similarity,data_source,fault_text1_clean,fault_text1_words,fault_text1_text_length,fault_text1_digit_count,fault_text1_special_char_count,fault_text1_matched_category,fault_text1_matched_keywords,fault_text2_clean,fault_text2_words,fault_text2_text_length,fault_text2_digit_count,fault_text2_special_char_count,fault_text2_matched_category,fault_text2_matched_keywords
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.56,original,轴承润滑脂干涸出现干摩擦异响,"['轴承', '润滑脂', '干涸', '摩擦', '异响']",14,0,0,机械系统,"轴承,润滑脂,异响",轴承磨损异响运转时出现周期性异音,"['轴承', '磨损', '异响', '运转', '周期性', '异音']",16,0,0,机械系统,"轴承,磨损,异响"
PLC信号丢失，传感器反馈数据无更新,PLC通讯故障，与变频器的Modbus连接中断,0.49,original,PLC信号丢失传感器反馈数据无更新,"['PLC', '信号', '丢失', '传感器', '反馈', '数据', '更新']",17,0,0,控制系统,"PLC,信号",PLC通讯故障与变频器的Modbus连接中断,"['PLC', '通讯', '故障', '变频器', 'Modbus', '连接', '中断']",22,0,1,控制系统,"PLC,通讯,故障,变频器,Modbus,中断"
离心泵流量不足，出口管路堵塞,离心泵空转异响，进口阀门未打开导致气蚀,0.86,original,离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']",13,0,0,未知,,离心泵空转异响进口阀门未打开导致气蚀,"['离心泵', '空转', '异响', '进口', '阀门', '打开', '气蚀']",18,0,0,机械系统,异响
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.65,original,PLC信号丢失传感器反馈数据无更新,"['PLC', '信号', '丢失', '传感器', '反馈', '数据', '更新']",17,0,0,控制系统,"PLC,信号",PLC输入输出点I0.2损坏无信号输入,"['PLC', '输入输出', 'I0.2', '损坏', '信号', '输入']",19,2,0,控制系统,"PLC,输入输出,信号"
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.62,original,PLC输入输出点I0.2损坏无信号输入,"['PLC', '输入输出', 'I0.2', '损坏', '信号', '输入']",19,2,0,控制系统,"PLC,输入输出,信号",PLC断电记忆丢失参数恢复至出厂默认值,"['PLC', '断电', '记忆', '丢失', '参数', '恢复', '出厂', '默认值']",19,0,0,控制系统,"PLC,参数"
离心泵流量不足，出口管路堵塞,轴承润滑脂干涸，出现干摩擦异响,0.05,generated,离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']",13,0,0,未知,,轴承润滑脂干涸出现干摩擦异响,"['轴承', '润滑脂', '干涸', '摩擦', '异响']",14,0,0,机械系统,"轴承,润滑脂,异响"
离心泵密封泄漏，机械密封端面磨损,离心泵密封泄漏，在运行中机械密封端面磨损,0.92,generated,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']",15,0,0,机械系统,"泄漏,磨损",离心泵密封泄漏在运行中机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']",19,0,0,机械系统,"泄漏,磨损"
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差，受电磁干扰出现跳变,1.0,generated,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']",16,0,0,未知,,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']",16,0,0,未知,
继电器接触不良，信号传输时断时续,继电器接触不良，信号传输时断时续,0.67,generated,继电器接触不良信号传输时断时续,"['继电器', '接触不良', '信号', '传输', '时断时续']",15,0,0,电气系统,"继电器,信号",继电器接触不良信号传输时断时续,"['继电器', '接触不良', '信号', '传输', '时断时续']",15,0,0,电气系统,"继电器,信号"
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.49,original,变频器过压报警直流母线电压达800V,"['变频器', '过压', '报警', '直流', '线电压', '800V']",18,3,0,控制系统,变频器,变频器参数紊乱加速时间被异常修改,"['变频器', '参数', '紊乱', '加速', '时间', '异常', '修改']",16,0,0,控制系统,"变频器,参数"
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.85,original,电机过载停机故障代码E012需重启复位,"['电机', '过载', '停机', '故障', '代码', 'E012', '重启', '复位']",19,3,0,电气系统,"电机,过载,故障",电机连续运行8小时后出现异响振动值超额定20%,"['电机', '连续', '小时', '异响', '振动', '超额', '20%']",23,3,1,电气系统,"电机,异响,振动"
传感器量程超限，显示值固定为最大值,传感器响应延迟，信号滞后2秒,0.89,generated,传感器量程超限显示值固定为最大值,"['传感器', '量程', '超限', '固定', '最大值']",16,0,0,未知,,传感器响应延迟信号滞后2秒,"['传感器', '响应', '延迟', '信号', '滞后']",13,1,0,控制系统,信号
离心泵空转异响，进口阀门未打开导致气蚀,液压缸压力不足，工作压力仅达额定60%,0.08,original,离心泵空转异响进口阀门未打开导致气蚀,"['离心泵', '空转', '异响', '进口', '阀门', '打开', '气蚀']",18,0,0,机械系统,异响,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",18,2,1,执行器系统,液压缸
离心泵流量不足，出口管路堵塞,继电器触点烧蚀，接触电阻增大至5Ω,0.03,original,离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']",13,0,0,未知,,继电器触点烧蚀接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '接触', '电阻', '增大']",16,1,1,电气系统,继电器
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.65,original,电机负载达额定120%时出现过热绕组温度升至105℃,"['电机', '负载', '额定', '120%', '过热', '绕组', '温度', '升至']",26,6,2,电气系统,电机,电机负载达额定120%时出现过热绕组温度升至105℃,"['电机', '负载', '额定', '120%', '过热', '绕组', '温度', '升至']",26,6,2,电气系统,电机
轴承温升过高，连续运行2小时后温度达80℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.33,generated,轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']",20,3,1,机械系统,轴承,电机环境湿度80%时出现绝缘不良绝缘电阻低于0.5MΩ,"['电机', '环境湿度', '80%', '绝缘', '不良', '绝缘', '电阻', '低于', '0.5']",27,4,3,电气系统,"电机,绝缘,绝缘"
传感器响应延迟，信号滞后2秒,传感器抗干扰差，受电磁干扰出现跳变,0.92,original,传感器响应延迟信号滞后2秒,"['传感器', '响应', '延迟', '信号', '滞后']",13,1,0,控制系统,信号,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']",16,0,0,未知,
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.92,original,轴承间隙过大径向游隙超0.15mm,"['轴承', '间隙', '过大', '径向', '游隙', '0.15', 'mm']",17,3,0,机械系统,轴承,轴承润滑脂干涸出现干摩擦异响,"['轴承', '润滑脂', '干涸', '摩擦', '异响']",14,0,0,机械系统,"轴承,润滑脂,异响"
继电器线圈烧毁，电阻值无穷大,继电器线圈烧毁，持续性电阻值无穷大,0.77,generated,继电器线圈烧毁电阻值无穷大,"['继电器', '线圈', '烧毁', '电阻值', '无穷大']",13,0,0,电气系统,继电器,继电器线圈烧毁持续性电阻值无穷大,"['继电器', '线圈', '烧毁', '持续性', '电阻值', '无穷大']",16,0,0,电气系统,继电器
继电器触点烧蚀，接触电阻增大至5Ω,轴承间隙过大，径向游隙超0.15mm,0.29,generated,继电器触点烧蚀接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '接触', '电阻', '增大']",16,1,1,电气系统,继电器,轴承间隙过大径向游隙超0.15mm,"['轴承', '间隙', '过大', '径向', '游隙', '0.15', 'mm']",17,3,0,机械系统,轴承
离心泵密封泄漏，机械密封端面磨损,变频器频率漂移，设定50Hz实际输出45Hz,0.13,original,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']",15,0,0,机械系统,"泄漏,磨损",变频器频率漂移设定50Hz实际输出45Hz,"['变频器', '频率', '漂移', '50Hz', '输出', '45Hz']",21,4,1,控制系统,变频器
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.47,original,变频器散热风扇故障散热片温度达75℃,"['变频器', '散热', '风扇', '故障', '散热片', '温度']",18,2,1,控制系统,"变频器,风扇,故障",变频器频率漂移设定50Hz实际输出45Hz,"['变频器', '频率', '漂移', '50Hz', '输出', '45Hz']",21,4,1,控制系统,变频器
变频器过压报警，直流母线电压达800V,传感器抗干扰差，受电磁干扰出现跳变,0.47,generated,变频器过压报警直流母线电压达800V,"['变频器', '过压', '报警', '直流', '线电压', '800V']",18,3,0,控制系统,变频器,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']",16,0,0,未知,
轴承滚珠破损，振动频谱出现冲击峰值,传感器响应延迟，信号滞后2秒,0.53,generated,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']",16,0,0,机械系统,"轴承,振动",传感器响应延迟信号滞后2秒,"['传感器', '响应', '延迟', '信号', '滞后']",13,1,0,控制系统,信号
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.89,original,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']",15,0,0,机械系统,"泄漏,磨损",离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']",13,0,0,未知,
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.54,original,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",18,2,1,执行器系统,液压缸,液压缸缓冲装置失效行程末端冲击过大,"['液压缸', '缓冲', '装置', '失效', '行程', '末端', '冲击', '过大']",17,0,0,执行器系统,液压缸
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.66,original,电机负载达额定120%时出现过热绕组温度升至105℃,"['电机', '负载', '额定', '120%', '过热', '绕组', '温度', '升至']",26,6,2,电气系统,电机,电机负载达额定120%时出现过热绕组温度升至105℃,"['电机', '负载', '额定', '120%', '过热', '绕组', '温度', '升至']",26,6,2,电气系统,电机
变频器过流跳闸，输出电流超额定30%,变频器过压报警，直流母线电压达800V,0.89,original,变频器过流跳闸输出电流超额定30%,"['变频器', '过流', '跳闸', '输出', '电流', '超额', '30%']",17,2,1,控制系统,变频器,变频器过压报警直流母线电压达800V,"['变频器', '过压', '报警', '直流', '线电压', '800V']",18,3,0,控制系统,变频器
轴承温升过高，连续运行2小时后温度达80℃,轴承磨损异响，运转时出现周期性异音,0.89,original,轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']",20,3,1,机械系统,轴承,轴承磨损异响运转时出现周期性异音,"['轴承', '磨损', '异响', '运转', '周期性', '异音']",16,0,0,机械系统,"轴承,磨损,异响"
变频器散热风扇故障，散热片温度达75℃,变频器散热风扇故障，周期性散热片温度达75℃,0.85,generated,变频器散热风扇故障散热片温度达75℃,"['变频器', '散热', '风扇', '故障', '散热片', '温度']",18,2,1,控制系统,"变频器,风扇,故障",变频器散热风扇故障周期性散热片温度达75℃,"['变频器', '散热', '风扇', '故障', '周期性', '散热片', '温度']",21,2,1,控制系统,"变频器,风扇,故障"
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.41,original,电机负载达额定120%时出现过热绕组温度升至105℃,"['电机', '负载', '额定', '120%', '过热', '绕组', '温度', '升至']",26,6,2,电气系统,电机,电机过载停机故障代码E012需重启复位,"['电机', '过载', '停机', '故障', '代码', 'E012', '重启', '复位']",19,3,0,电气系统,"电机,过载,故障"
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.82,original,轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']",20,3,1,机械系统,轴承,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']",16,0,0,机械系统,"轴承,振动"
离心泵叶轮磨损，流量下降至额定70%,离心泵轴承发热，温度达75℃,0.83,original,离心泵叶轮磨损流量下降至额定70%,"['离心泵', '叶轮', '磨损', '流量', '下降', '额定', '70%']",17,2,1,机械系统,磨损,离心泵轴承发热温度达75℃,"['离心泵', '轴承', '发热', '温度']",13,2,1,机械系统,轴承
离心泵叶轮磨损，流量下降至额定70%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.13,original,离心泵叶轮磨损流量下降至额定70%,"['离心泵', '叶轮', '磨损', '流量', '下降', '额定', '70%']",17,2,1,机械系统,磨损,电机轴承润滑不足导致转速异常输出转速波动5%,"['电机', '轴承', '润滑', '不足', '转速', '异常', '输出', '转速', '波动', '5%']",22,1,1,电气系统,"电机,轴承,转速,转速"
液压缸活塞杆变形，伸出时出现偏斜,液压缸活塞杆变形，伸出时出现偏斜,0.64,original,液压缸活塞杆变形伸出时出现偏斜,"['液压缸', '活塞杆', '变形', '伸出', '偏斜']",15,0,0,液压系统,"液压缸,活塞杆,变形",液压缸活塞杆变形伸出时出现偏斜,"['液压缸', '活塞杆', '变形', '伸出', '偏斜']",15,0,0,液压系统,"液压缸,活塞杆,变形"
继电器接触不良，信号传输时断时续,继电器吸合不良，线圈电压正常但触点未闭合,0.61,original,继电器接触不良信号传输时断时续,"['继电器', '接触不良', '信号', '传输', '时断时续']",15,0,0,电气系统,"继电器,信号",继电器吸合不良线圈电压正常但触点未闭合,"['继电器', '吸合', '不良', '线圈', '电压', '正常', '触点', '闭合']",19,0,0,电气系统,继电器
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.59,original,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']",15,0,0,机械系统,"泄漏,磨损",离心泵轴承发热温度达75℃,"['离心泵', '轴承', '发热', '温度']",13,2,1,机械系统,轴承
轴承润滑脂干涸，出现干摩擦异响,轴承润滑脂干涸，出现干摩擦异响,0.52,original,轴承润滑脂干涸出现干摩擦异响,"['轴承', '润滑脂', '干涸', '摩擦', '异响']",14,0,0,机械系统,"轴承,润滑脂,异响",轴承润滑脂干涸出现干摩擦异响,"['轴承', '润滑脂', '干涸', '摩擦', '异响']",14,0,0,机械系统,"轴承,润滑脂,异响"
传感器无输出信号，接线端子接触不良,液压缸压力不足，工作压力仅达额定60%,0.11,generated,传感器无输出信号接线端子接触不良,"['传感器', '输出', '信号', '接线', '端子', '接触不良']",16,0,0,控制系统,信号,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",18,2,1,执行器系统,液压缸
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.62,original,轴承磨损异响运转时出现周期性异音,"['轴承', '磨损', '异响', '运转', '周期性', '异音']",16,0,0,机械系统,"轴承,磨损,异响",轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']",20,3,1,机械系统,轴承
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.6,original,轴承间隙过大径向游隙超0.15mm,"['轴承', '间隙', '过大', '径向', '游隙', '0.15', 'mm']",17,3,0,机械系统,轴承,轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']",20,3,1,机械系统,轴承
轴承滚珠破损，振动频谱出现冲击峰值,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.28,original,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']",16,0,0,机械系统,"轴承,振动",电机轴承润滑不足导致转速异常输出转速波动5%,"['电机', '轴承', '润滑', '不足', '转速', '异常', '输出', '转速', '波动', '5%']",22,1,1,电气系统,"电机,轴承,转速,转速"
液压缸压力不足，工作压力仅达额定60%,轴承滚珠破损，振动频谱出现冲击峰值,0.15,original,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",18,2,1,执行器系统,液压缸,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']",16,0,0,机械系统,"轴承,振动"
传感器无输出信号，接线端子接触不良,传感器无输出信号，接线端子接触不良,0.67,original,传感器无输出信号接线端子接触不良,"['传感器', '输出', '信号', '接线', '端子', '接触不良']",16,0,0,控制系统,信号,传感器无输出信号接线端子接触不良,"['传感器', '输出', '信号', '接线', '端子', '接触不良']",16,0,0,控制系统,信号
轴承滚珠破损，振动频谱出现冲击峰值,轴承滚珠破损，振动频谱出现冲击峰值,0.4,original,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']",16,0,0,机械系统,"轴承,振动",轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']",16,0,0,机械系统,"轴承,振动"
轴承磨损异响，运转时出现周期性异音,在启动时轴承磨损异响，运转时出现周期性异音,0.79,generated,轴承磨损异响运转时出现周期性异音,"['轴承', '磨损', '异响', '运转', '周期性', '异音']",16,0,0,机械系统,"轴承,磨损,异响",在启动时轴承磨损异响运转时出现周期性异音,"['启动', '轴承', '磨损', '异响', '运转', '周期性', '异音']",20,0,0,机械系统,"轴承,磨损,异响"
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.58,original,PLC程序报错梯形图逻辑错误导致误动作,"['PLC', '程序', '报错', '梯形图', '逻辑', '错误', '误动作']",19,0,0,控制系统,"PLC,程序",PLC输入输出点I0.2损坏无信号输入,"['PLC', '输入输出', 'I0.2', '损坏', '信号', '输入']",19,2,0,控制系统,"PLC,输入输出,信号"
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.41,original,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']",16,0,0,未知,,传感器量程超限显示值固定为最大值,"['传感器', '量程', '超限', '固定', '最大值']",16,0,0,未知,
液压缸活塞杆变形，伸出时出现偏斜,液压缸压力不足，工作压力仅达额定60%,0.87,original,液压缸活塞杆变形伸出时出现偏斜,"['液压缸', '活塞杆', '变形', '伸出', '偏斜']",15,0,0,液压系统,"液压缸,活塞杆,变形",液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",18,2,1,执行器系统,液压缸
继电器触点烧蚀，接触电阻增大至5Ω,继电器触点烧蚀，电压波动时接触电阻增大至5Ω,0.75,generated,继电器触点烧蚀接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '接触', '电阻', '增大']",16,1,1,电气系统,继电器,继电器触点烧蚀电压波动时接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '电压', '波动', '接触', '电阻', '增大']",21,1,1,电气系统,继电器
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.41,original,离心泵空转异响进口阀门未打开导致气蚀,"['离心泵', '空转', '异响', '进口', '阀门', '打开', '气蚀']",18,0,0,机械系统,异响,离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']",13,0,0,未知,
传感器无输出信号，接线端子接触不良,传感器无输出信号，轻微接线端子接触不良,0.81,generated,传感器无输出信号接线端子接触不良,"['传感器', '输出', '信号', '接线', '端子', '接触不良']",16,0,0,控制系统,信号,传感器无输出信号轻微接线端子接触不良,"['传感器', '输出', '信号', '轻微', '接线', '端子', '接触不良']",18,0,0,控制系统,信号
传感器无输出信号，接线端子接触不良,传感器抗干扰差，受电磁干扰出现跳变,0.5,original,传感器无输出信号接线端子接触不良,"['传感器', '输出', '信号', '接线', '端子', '接触不良']",16,0,0,控制系统,信号,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']",16,0,0,未知,
液压缸压力不足，工作压力仅达额定60%,频繁液压缸压力不足，工作压力仅达额定60%,0.81,generated,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",18,2,1,执行器系统,液压缸,频繁液压缸压力不足工作压力仅达额定60%,"['频繁', '液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']",20,2,1,执行器系统,液压缸
变频器参数紊乱，加速时间被异常修改,变频器过压报警，直流母线电压达800V,0.96,original,变频器参数紊乱加速时间被异常修改,"['变频器', '参数', '紊乱', '加速', '时间', '异常', '修改']",16,0,0,控制系统,"变频器,参数",变频器过压报警直流母线电压达800V,"['变频器', '过压', '报警', '直流', '线电压', '800V']",18,3,0,控制系统,变频器
离心泵密封泄漏，机械密封端面磨损,离心泵流量不足，出口管路堵塞,0.98,original,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']",15,0,0,机械系统,"泄漏,磨损",离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']",13,0,0,未知,
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.85,original,继电器接触不良信号传输时断时续,"['继电器', '接触不良', '信号', '传输', '时断时续']",15,0,0,电气系统,"继电器,信号",继电器触点烧蚀接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '接触', '电阻', '增大']",16,1,1,电气系统,继电器
