fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
液压缸缓冲装置失效 行程末端冲击过大,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.6,original
离心泵轴承发热 温度达75,继电器接触不良 信号传输时断时续,0.01,generated
继电器误动作 无输入信号时触点自行闭合,液压缸动作卡顿 换向时出现滞涩现象,0.08,original
继电器误动作 无输入信号时触点自行闭合,PLC断电记忆丢失 参数恢复至出厂默认值,0.22,generated
电机过载停机 故障代码E012 需重启复位,电机负载达额定120 时出现过热 绕组温度升至105,0.83,original
传感器响应延迟 信号滞后2秒,传感器量程超限 显示值固定为最大值,0.56,original
继电器误动作 无输入信号时触点自行闭合,变频器过压报警 直流母线电压达800V,0.03,original
离心泵密封泄漏 机械密封端面磨损,PLC程序报错 梯形图逻辑错误导致误动作,0.34,generated
离心泵密封泄漏 机械密封端面磨损,离心泵轴承发热 温度达75,0.49,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,0.51,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.82,original
PLC通讯故障 与变频器的Modbus连接中断,PLC程序报错 梯形图逻辑错误导致误动作,0.88,original
轴承润滑脂干涸 出现干摩擦异响,变频器散热风扇故障 散热片温度达75,0.81,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸压力不足 工作压力仅达额定60,0.49,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.6,original
PLC输入输出点I0 2损坏 无信号输入,PLC通讯故障 与变频器的Modbus连接中断,0.61,generated
离心泵轴承发热 温度达75,离心泵轴承发热 温度达75,0.52,original
电机过载停机 故障代码E012 需重启复位,电机负载达额定120 时出现过热 绕组温度升至105,0.62,original
轴承间隙过大 径向游隙超0 15mm,轴承间隙过大 径向游隙超0 15mm,0.54,original
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,0.89,original
液压缸动作卡顿 换向时出现滞涩现象,离心泵轴承发热 温度达75,0.21,original
离心泵流量不足 出口管路堵塞,离心泵空转异响 进口阀门未打开导致气蚀,0.55,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC信号丢失 传感器反馈数据无更新,0.99,original
轴承磨损异响 运转时出现周期性异音,轴承磨损异响 温度升高后运转时出现周期性异音,0.96,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,离心泵密封泄漏 机械密封端面磨损,0.25,original
PLC信号丢失 传感器反馈数据无更新,PLC程序报错 梯形图逻辑错误导致误动作,0.63,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,1.0,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 换向时出现滞涩现象,0.44,original
传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,0.62,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承温升过高 连续运行2小时后温度达80,0.48,original
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.92,original
继电器线圈烧毁 电阻值无穷大,突发性继电器线圈烧毁 电阻值无穷大,0.6,generated
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.49,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.61,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.43,original
传感器响应延迟 信号滞后2秒,变频器频率漂移 设定50Hz实际输出45Hz,0.1,original
离心泵叶轮磨损 流量下降至额定70,电机连续运行8小时后出现异响 振动值超额定20,0.02,original
离心泵轴承发热 温度达75,离心泵轴承发热 温度达75,0.52,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,PLC信号丢失 传感器反馈数据无更新,0.01,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.0,generated
继电器接触不良 信号传输时断时续,继电器触点烧蚀 接触电阻增大至5Ω,0.81,original
传感器抗干扰差 受电磁干扰出现跳变,在运行中传感器抗干扰差 受电磁干扰出现跳变,0.92,generated
继电器接触不良 信号传输时断时续,液压缸压力不足 工作压力仅达额定60,0.67,generated
PLC信号丢失 传感器反馈数据无更新,PLC信号丢失 间歇性传感器反馈数据无更新,0.93,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机过载停机 故障代码E012 需重启复位,0.63,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.81,original
PLC通讯故障 与变频器的Modbus连接中断,突发性PLC通讯故障 与变频器的Modbus连接中断,0.77,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承磨损异响 运转时出现周期性异音,0.82,original
继电器线圈烧毁 电阻值无穷大,继电器吸合不良 线圈电压正常但触点未闭合,0.44,original
变频器过流跳闸 输出电流超额定30,电机连续运行8小时后出现异响 振动值超额定20,0.72,generated
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.63,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.98,original
继电器吸合不良 线圈电压正常但触点未闭合,轴承润滑脂干涸 出现干摩擦异响,0.0,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.65,original
传感器数值漂移 测量值比实际值高10,传感器抗干扰差 受电磁干扰出现跳变,0.5,original
变频器频率漂移 设定50Hz实际输出45Hz,轴承润滑脂干涸 出现干摩擦异响,0.34,generated
轴承间隙过大 径向游隙超0 15mm,轴承间隙过大 径向游隙超0 15mm,0.79,generated
PLC通讯故障 与变频器的Modbus连接中断,传感器响应延迟 信号滞后2秒,0.36,generated
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.61,original
PLC输入输出点I0 2损坏 无信号输入,PLC信号丢失 传感器反馈数据无更新,0.42,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.81,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.49,original
离心泵叶轮磨损 流量下降至额定70,离心泵轴承发热 温度达75,0.88,original
PLC输入输出点I0 2损坏 无信号输入,PLC通讯故障 与变频器的Modbus连接中断,0.67,original
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.46,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器线圈烧毁 电阻值无穷大,0.91,original
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.58,original
继电器线圈烧毁 电阻值无穷大,继电器接触不良 信号传输时断时续,0.7,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 散热片温度达75,0.96,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.64,original
继电器吸合不良 线圈电压正常但触点未闭合,PLC通讯故障 与变频器的Modbus连接中断,0.74,generated
液压缸动作卡顿 换向时出现滞涩现象,电流不稳时液压缸动作卡顿 换向时出现滞涩现象,0.7,generated
离心泵流量不足 出口管路堵塞,变频器频率漂移 设定50Hz实际输出45Hz,0.13,original
传感器量程超限 显示值固定为最大值,传感器量程超限 显示值固定为最大值,0.79,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.63,original
轴承磨损异响 运转时出现周期性异音,传感器响应延迟 信号滞后2秒,0.22,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC程序报错 梯形图逻辑错误导致误动作,0.93,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.43,original
离心泵流量不足 出口管路堵塞,电机轴承润滑不足导致转速异常 输出转速波动 5,0.4,generated
变频器过流跳闸 输出电流超额定30,变频器频率漂移 设定50Hz实际输出45Hz,0.65,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.96,original
轴承润滑脂干涸 出现干摩擦异响,湿度增大后轴承润滑脂干涸 出现干摩擦异响,0.92,generated
变频器频率漂移 设定50Hz实际输出45Hz,电机轴承润滑不足导致转速异常 输出转速波动 5,0.1,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸活塞杆变形 伸出时出现偏斜,0.58,original
变频器参数紊乱 加速时间被异常修改,温度升高后变频器参数紊乱 加速时间被异常修改,0.88,generated
PLC信号丢失 传感器反馈数据无更新,PLC断电记忆丢失 参数恢复至出厂默认值,0.69,original
传感器抗干扰差 受电磁干扰出现跳变,传感器量程超限 显示值固定为最大值,0.97,original
PLC信号丢失 传感器反馈数据无更新,PLC断电记忆丢失 参数恢复至出厂默认值,0.53,original
变频器散热风扇故障 散热片温度达75,变频器频率漂移 设定50Hz实际输出45Hz,0.44,original
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.88,original
传感器响应延迟 信号滞后2秒,电机过载停机 故障代码E012 需重启复位,0.1,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸活塞杆变形 间歇性伸出时出现偏斜,0.75,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.68,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.81,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机轴承润滑不足导致转速异常 轻微输出转速波动 5,0.73,generated
继电器吸合不良 线圈电压正常但触点未闭合,突发性继电器吸合不良 线圈电压正常但触点未闭合,0.8,generated
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.59,original
离心泵流量不足 出口管路堵塞,离心泵密封泄漏 机械密封端面磨损,0.61,generated
PLC信号丢失 传感器反馈数据无更新,PLC程序报错 梯形图逻辑错误导致误动作,0.88,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.44,original
传感器无输出信号 接线端子接触不良,传感器抗干扰差 受电磁干扰出现跳变,0.68,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.45,original
电机负载达额定120 时出现过热 绕组温度升至105,轴承滚珠破损 振动频谱出现冲击峰值,0.13,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机轴承润滑不足导致转速异常 输出转速波动 5,0.92,original
变频器过压报警 直流母线电压达800V,变频器参数紊乱 加速时间被异常修改,0.65,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.61,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 散热片温度达75,0.74,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.53,original
离心泵轴承发热 温度达75,离心泵流量不足 出口管路堵塞,0.62,original
液压缸缓冲装置失效 行程末端冲击过大,继电器触点烧蚀 接触电阻增大至5Ω,0.03,original
继电器线圈烧毁 电阻值无穷大,继电器线圈烧毁 电流不稳时电阻值无穷大,0.9,generated
轴承间隙过大 径向游隙超0 15mm,轴承间隙过大 径向游隙超0 15mm,0.43,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.9,original
轴承间隙过大 径向游隙超0 15mm,电机连续运行8小时后出现异响 振动值超额定20,0.46,generated
离心泵空转异响 进口阀门未打开导致气蚀,离心泵密封泄漏 机械密封端面磨损,0.53,original
液压缸缓冲装置失效 行程末端冲击过大,传感器抗干扰差 受电磁干扰出现跳变,0.1,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.44,original
变频器参数紊乱 加速时间被异常修改,继电器线圈烧毁 电阻值无穷大,0.29,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.85,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.52,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵轴承发热 温度达75,0.55,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.85,original
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.68,original
离心泵叶轮磨损 流量下降至额定70,离心泵流量不足 出口管路堵塞,0.51,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,变频器过压报警 直流母线电压达800V,0.17,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.83,original
传感器量程超限 显示值固定为最大值,传感器抗干扰差 受电磁干扰出现跳变,0.62,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.64,original
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 工作压力仅达额定60,0.47,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸缓冲装置失效 行程末端冲击过大,0.66,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.57,original
传感器抗干扰差 受电磁干扰出现跳变,变频器过流跳闸 输出电流超额定30,0.23,generated
传感器数值漂移 测量值比实际值高10,传感器抗干扰差 受电磁干扰出现跳变,0.49,original
离心泵轴承发热 温度达75,PLC输入输出点I0 2损坏 无信号输入,0.22,original
PLC信号丢失 传感器反馈数据无更新,电机负载达额定120 时出现过热 绕组温度升至105,0.31,generated
电机连续运行8小时后出现异响 振动值超额定20,电机过载停机 故障代码E012 需重启复位,0.81,original
传感器抗干扰差 受电磁干扰出现跳变,传感器量程超限 显示值固定为最大值,0.69,original
轴承温升过高 连续运行2小时后温度达80,离心泵密封泄漏 机械密封端面磨损,0.25,generated
传感器数值漂移 测量值比实际值高10,继电器触点烧蚀 接触电阻增大至5Ω,0.32,generated
传感器无输出信号 接线端子接触不良,传感器数值漂移 测量值比实际值高10,0.68,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,继电器误动作 无输入信号时触点自行闭合,0.05,original
电机过载停机 故障代码E012 需重启复位,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.59,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸活塞杆变形 伸出时出现偏斜,0.65,original
电机轴承润滑不足导致转速异常 输出转速波动 5,液压缸活塞杆变形 伸出时出现偏斜,0.7,generated
传感器量程超限 显示值固定为最大值,传感器抗干扰差 受电磁干扰出现跳变,0.84,original
电机连续运行8小时后出现异响 振动值超额定20,继电器误动作 无输入信号时触点自行闭合,0.16,original
继电器触点烧蚀 接触电阻增大至5Ω,PLC程序报错 梯形图逻辑错误导致误动作,0.22,original
变频器参数紊乱 加速时间被异常修改,变频器过流跳闸 输出电流超额定30,0.7,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 参数恢复至出厂默认值,0.68,original
液压缸动作卡顿 换向时出现滞涩现象,电机过载停机 故障代码E012 需重启复位,0.42,generated
传感器数值漂移 测量值比实际值高10,传感器数值漂移 测量值比实际值高10,0.93,generated
变频器过压报警 直流母线电压达800V,离心泵轴承发热 温度达75,0.1,original
继电器吸合不良 线圈电压正常但触点未闭合,变频器散热风扇故障 散热片温度达75,0.15,generated
变频器参数紊乱 加速时间被异常修改,变频器频率漂移 设定50Hz实际输出45Hz,0.48,original
